fname,lname,email,password,isVerified
Nora,Lopez,nora.lopez0@example.com,hashed_password,TRUE
Ramon,Silang,ramon.silang1@example.com,hashed_password,TRUE
Liza,Mendoza,liza.mendoza2@example.com,hashed_password,TRUE
Gina,Aquino,gina.aquino3@example.com,hashed_password,TRUE
Ninoy,Deleon,ninoy.deleon4@example.com,hashed_password,TRUE
Piolo,Mendoza,piolo.mendoza5@example.com,hashed_password,TRUE
Nora,Castillo,nora.castillo6@example.com,hashed_password,TRUE
Diego,Mercado,diego.mercado7@example.com,hashed_password,TRUE
Marian,Luna,marian.luna8@example.com,hashed_password,TRUE
Corazon,Fernandez,corazon.fernandez9@example.com,hashed_password,TRUE
Corazon,Morales,corazon.morales10@example.com,hashed_password,TRUE
Marian,Gomez,marian.gomez11@example.com,hashed_password,TRUE
Angel,Ortiz,angel.ortiz12@example.com,hashed_password,TRUE
Robin,Cruz,robin.cruz13@example.com,hashed_password,TRUE
Lani,Luna,lani.luna14@example.com,hashed_password,TRUE
Kris,Santos,kris.santos15@example.com,hashed_password,TRUE
Robin,Diaz,robin.diaz16@example.com,hashed_password,TRUE
Enrique,Castillo,enrique.castillo17@example.com,hashed_password,TRUE
John,Rodriguez,john.rodriguez18@example.com,hashed_password,TRUE
Marian,Deleon,marian.deleon19@example.com,hashed_password,TRUE
Bong,Luna,bong.luna20@example.com,hashed_password,TRUE
Marian,Santos,marian.santos21@example.com,hashed_password,TRUE
Dingdong,Ramos,dingdong.ramos22@example.com,hashed_password,TRUE
Angelica,Estrada,angelica.estrada23@example.com,hashed_password,TRUE
Richard,Fernandez,richard.fernandez24@example.com,hashed_password,TRUE
Angel,Estrada,angel.estrada25@example.com,hashed_password,TRUE
Richard,Morales,richard.morales26@example.com,hashed_password,TRUE
Jackie,Mendoza,jackie.mendoza27@example.com,hashed_password,TRUE
Angelica,Deleon,angelica.deleon28@example.com,hashed_password,TRUE
Gina,Castillo,gina.castillo29@example.com,hashed_password,TRUE
Fernando,Gomez,fernando.gomez30@example.com,hashed_password,TRUE
Piolo,Gomez,piolo.gomez31@example.com,hashed_password,TRUE
Bong,Rivera,bong.rivera32@example.com,hashed_password,TRUE
Angelica,Navarro,angelica.navarro33@example.com,hashed_password,TRUE
Liza,Deleon,liza.deleon34@example.com,hashed_password,TRUE
Edu,Cruz,edu.cruz35@example.com,hashed_password,TRUE
