_id,fname,lname,email,password,__v,isVerified
"{""$oid"": ""671208f0f663eac5d4929818""}", Romark , Bayan ,rom@gmail.com,$2b$10$FE6hbsZRCoLIBDcMgOfpp.dQhZfjBrbMpBtHVM7wQKqHhnG06V532,0,
"{""$oid"": ""6719225811abe2e2378e4b88""}",Romark,Bayan,romark7bayan@gmail.com,$2b$10$8WlycJZcL3mu1D7sjju2oOi/EVvQVvl9FZSpY0vecAlueUxoGFLKG,0,True
"{""$oid"": ""671923c81a5fca27175f3072""}",Romark,Bayan,istorya707@gmail.com,$2b$10$ORqY21nkOANz6QK4gdt7W.EnBABQZfu9YX3yq2yB0i3Bflq1hopvy,0,True
"{""$oid"": ""671d08bb309149f8b600ca06""}",Nora,Lopez,nora.lopez0@example.com,$2b$10$PEbQJaia006foL0uQk6nXePyWy7pvOl/EGC1xMSeVr3XOzvRxkL3y,0,False
"{""$oid"": ""671d08bb309149f8b600ca07""}",Ramon,Silang,ramon.silang1@example.com,$2b$10$vKCUQ0/UY.nby7xVwbw02eSSWA3cMibBWfjufYdw/BE1opzdu.zxC,0,False
"{""$oid"": ""671d08bb309149f8b600ca08""}",Liza,Mendoza,liza.mendoza2@example.com,$2b$10$L39copTdRDp0BZdLsR29LeA2XzBer2is.q8nK0FvRiOTsYlazXeyu,0,False
"{""$oid"": ""671d08bb309149f8b600ca09""}",Gina,Aquino,gina.aquino3@example.com,$2b$10$8GEvkwg1FpczjkNyHRdit.wTsuWmikwv9C.bFEUnNbz5XUxkMEHyi,0,False
"{""$oid"": ""671d08bb309149f8b600ca0a""}",Ninoy,Deleon,ninoy.deleon4@example.com,$2b$10$pSXZ3KRyKG06o2107TY3neXjd9o9Z6TkaKhIt/GQuqSSF0pjY8.22,0,False
"{""$oid"": ""671d08bb309149f8b600ca0b""}",Piolo,Mendoza,piolo.mendoza5@example.com,$2b$10$Zn19y3j0O38/gx3xjUvltumaMV5B2.SBnaCGXMUASzHeebSxXMcoe,0,False
"{""$oid"": ""671d08bb309149f8b600ca0c""}",Nora,Castillo,nora.castillo6@example.com,$2b$10$PltSVOrdTHX0STRYbA.i3OEesw2nBtBl3i3iV1.fHqUI.cpClAEg.,0,False
